Time,Tankdruk,Verdampingsdruk,Verdampingstemperatuur,Condensatiedruk,Condensatietemperatuur,VerdamperFAN sturing,FDVerdamperInterval,VerdamperFAN MODE Control,FDVerdamperFanPulsenNodig,FDVerdamperFanPulsen,FDCondensorInterval,CondensorFAN MODE Control,CondensorFAN sturing,FDCondensorPulsen,FDCondensorPulsenNodig,Gewicht Opslagtank,Compessor,S1 Lekken,S1 Bijvullen,S2 Start,LekkenVullen MODE Control,Alarm State,Cel Temperatuur,Verwarming Interval,Verwarming MODE Control,Verwarming sturing,Verwarming PulsenNodig,Verwarming sturing PWM1,Verwarming Pulsen,Stuurstroom,OFF Koel ON Vries,Gewicht Target,Vloeistofklep dicht,HD Overstortklep,FD Bijvullen,Bijvullen Actief,Lekken Actief,Reset,FDlekkkenInterval,FDlekkkenPulsenNodig,FDlekkkenPulsen,FD Lekken aktief,FD Lekken Klaar,FD Bijvullen aktief,Deurschakelaar,Deurcilinder,Deurmagneet,CondensorSchuif Interval,Condensor schuif,CondensorSchuif MODE Control,CondensorSchuif PulsenNodig,CondensorSchuif Pulsen,Seconden Aan Pulse (sec),Seconden Uit Pulse,Capaciteit_Regeling,label,Verdamperblokade
2025-06-04 13:21:30,7.2,1.3,-26.6,15.3,35.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,Off,Off,Off,Off,0.0,-214748364.8,-17.8,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,0.0,100.0,0.0,0.0,0.0,2.0,1:00,Off,0.0,0
2025-06-04 13:21:45,7.2,1.7,-23.0,15.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,Off,Off,Off,Off,0.0,-214748364.8,-17.3,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,0.0,100.0,0.0,0.0,0.0,2.0,1:00,Off,0.0,0
2025-06-04 13:22:00,7.2,1.9,-21.7,15.0,34.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,Off,Off,Off,Off,0.0,-214748364.8,-16.6,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,0.0,100.0,0.0,0.0,0.0,2.0,1:00,Off,0.0,0
2025-06-04 13:22:15,7.2,1.2,-27.6,16.0,36.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.1,On,Off,Off,Off,0.0,-214748364.8,-16.1,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,0.0,100.0,0.0,0.0,0.0,2.0,1:00,Off,0.0,0
2025-06-04 13:22:30,7.3,0.9,-31.8,16.2,37.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.9,0.0,0.0,0.1,On,Off,Off,Off,0.0,-214748364.8,-15.7,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,0.0,100.0,0.0,0.0,0.0,2.0,1:00,Off,0.0,0
2025-06-04 13:22:45,7.3,0.7,-34.2,16.1,37.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.4,0.0,0.0,0.1,On,Off,Off,Off,0.0,-214748364.8,-15.4,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,0.0,100.0,0.0,0.0,0.0,2.0,1:00,Off,0.0,0
2025-06-04 13:23:00,7.3,0.8,-33.1,16.2,37.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.8,0.0,0.0,0.1,On,Off,Off,Off,0.0,-214748364.8,-15.2,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,0.0,100.0,0.0,0.0,0.0,2.0,1:00,Off,0.0,0
2025-06-04 13:23:15,7.3,0.9,-32.1,15.8,36.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,On,Off,Off,Off,0.0,-214748364.8,-15.1,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,0.0,100.0,0.0,0.0,0.0,2.0,1:00,Off,0.0,0
2025-06-04 13:23:30,7.3,0.9,-31.5,16.2,37.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.1,On,Off,Off,Off,0.0,-214748364.8,-15.0,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,0.0,100.0,0.0,0.0,0.0,2.0,1:00,Off,0.0,0
2025-06-04 13:23:45,7.3,1.0,-31.0,16.5,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.1,On,Off,Off,Off,0.0,-214748364.8,-15.0,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,0.0,100.0,0.0,0.0,0.0,2.0,1:00,Off,0.0,0
