Time,Tankdruk,Verdampingsdruk,Verdampingstemperatuur,Condensatiedruk,Condensatietemperatuur,VerdamperFAN sturing,FDVerdamperInterval,VerdamperFAN MODE Control,FDVerdamperFanPulsenNodig,FDVerdamperFanPulsen,FDCondensorInterval,CondensorFAN MODE Control,CondensorFAN sturing,FDCondensorPulsen,FDCondensorPulsenNodig,Gewicht Opslagtank,Compessor,S1 Lekken,S1 Bijvullen,S2 Start,LekkenVullen MODE Control,Alarm State,Cel Temperatuur,Verwarming Interval,Verwarming MODE Control,Verwarming sturing,Verwarming PulsenNodig,Verwarming sturing PWM1,Verwarming Pulsen,Stuurstroom,OFF Koel ON Vries,Gewicht Target,Vloeistofklep dicht,HD Overstortklep,FD Bijvullen,Bijvullen Actief,Lekken Actief,Reset,FDlekkkenInterval,FDlekkkenPulsenNodig,FDlekkkenPulsen,FD Lekken aktief,FD Lekken Klaar,FD Bijvullen aktief,Deurschakelaar,Deurcilinder,Deurmagneet,CondensorSchuif Interval,Condensor schuif,CondensorSchuif MODE Control,CondensorSchuif PulsenNodig,CondensorSchuif Pulsen,Seconden Aan Pulse (sec),Seconden Uit Pulse,Capaciteit_Regeling,Verdamperblokade
2025-06-05 12:28:00,8.0,1.1,-29.8,15.7,36.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,Off,Off,Off,Off,0.0,-214748364.8,-17.3,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,141.1,100.0,3.0,100.0,100.0,2.0,1:00,Off,0
2025-06-05 12:28:15,8.0,1.1,-28.9,15.1,34.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,Off,Off,Off,Off,0.0,-214748364.8,-17.5,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,141.1,100.0,3.0,100.0,100.0,2.0,1:00,Off,0
2025-06-05 12:28:30,8.1,1.2,-28.3,15.2,34.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,Off,Off,Off,Off,0.0,-214748364.8,-17.7,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,141.1,100.0,3.0,100.0,100.0,2.0,1:00,Off,0
2025-06-05 12:28:45,8.0,1.3,-27.3,15.0,34.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,Off,Off,Off,Off,0.0,-214748364.8,-17.8,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,141.1,100.0,3.0,100.0,100.0,2.0,1:00,Off,0
2025-06-05 12:29:00,8.1,1.3,-27.2,15.2,34.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,Off,Off,Off,Off,0.0,-214748364.8,-18.0,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,141.1,100.0,3.0,100.0,100.0,2.0,1:00,Off,0
2025-06-05 12:29:15,8.1,1.4,-26.5,15.1,34.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,Off,Off,Off,Off,0.0,-214748364.8,-18.0,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,141.1,100.0,3.0,100.0,100.0,2.0,1:00,Off,0
2025-06-05 12:29:30,8.1,1.4,-26.1,15.1,34.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,Off,Off,Off,Off,0.0,-214748364.8,-18.0,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,141.1,100.0,3.0,100.0,100.0,2.0,1:00,Off,0
2025-06-05 12:29:45,8.1,1.4,-25.8,15.1,34.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,Off,Off,Off,Off,0.0,-214748364.8,-18.1,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,141.1,100.0,3.0,100.0,100.0,2.0,1:00,Off,0
2025-06-05 12:30:00,8.1,1.4,-25.8,15.2,34.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,Off,Off,Off,Off,0.0,-214748364.8,-18.1,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,141.1,100.0,3.0,100.0,100.0,2.0,1:00,Off,0
2025-06-05 12:30:15,8.1,1.5,-25.0,15.1,34.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,Off,Off,Off,Off,0.0,-214748364.8,-17.9,28.5,4.0,0.0,20.0,0.0,20.0,On,On,0.0,Off,Off,Off,Off,Off,Off,25.7,5.0,0.0,Off,Off,Off,On,Off,Off,141.1,100.0,3.0,100.0,100.0,2.0,1:00,Off,0
