Time;Tankdruk;Verdampingsdruk;Verdampingstemperatuur;Condensatiedruk;Condensatietemperatuur;VerdamperFAN sturing;FDVerdamperInterval;VerdamperFAN MODE Control;FDVerdamperFanPulsenNodig;FDVerdamperFanPulsen;FDCondensorInterval;CondensorFAN MODE Control;CondensorFAN sturing;FDCondensorPulsen;FDCondensorPulsenNodig;Gewicht Opslagtank;Compessor;S1 Lekken;S1 Bijvullen;S2 Start;LekkenVullen MODE Control;Alarm State;Cel Temperatuur;Verwarming Interval;Verwarming MODE Control;Verwarming sturing;Verwarming PulsenNodig;Verwarming sturing PWM1;Verwarming Pulsen;Stuurstroom;OFF Koel ON Vries;Gewicht Target;Vloeistofklep dicht;HD Overstortklep;FD Bijvullen;Bijvullen Actief;Lekken Actief;Reset;FDlekkkenInterval;FDlekkkenPulsenNodig;FDlekkkenPulsen;FD Lekken aktief;FD Lekken Klaar;FD Bijvullen aktief;Deurschakelaar;Deurcilinder;Deurmagneet;CondensorSchuif Interval;Condensor schuif;CondensorSchuif MODE Control;CondensorSchuif PulsenNodig;CondensorSchuif Pulsen;Seconden Aan Pulse (sec);Seconden Uit Pulse;Capaciteit_Regeling;Verdamperblokade
2025-05-20 11:59:15;7.9;1.4;-26.4;15.0;34.4;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;Off;Off;Off;Off;0.0;-214748364.8;-18.0;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 11:59:30;7.9;1.4;-25.9;15.0;34.3;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;Off;Off;Off;Off;0.0;-214748364.8;-17.9;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 11:59:45;7.9;1.5;-25.2;14.9;34.2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;Off;Off;Off;Off;0.0;-214748364.8;-17.8;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 12:00:00;7.9;1.5;-25.2;15.0;34.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;Off;Off;Off;Off;0.0;-214748364.8;-17.8;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 12:00:15;7.9;1.6;-24.5;14.9;34.1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;Off;Off;Off;Off;0.0;-214748364.8;-17.6;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 12:00:30;7.9;1.6;-24.5;15.0;34.4;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;Off;Off;Off;Off;0.0;-214748364.8;-17.5;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 12:00:45;7.9;1.6;-24.1;14.9;34.1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;Off;Off;Off;Off;0.0;-214748364.8;-17.3;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 12:01:00;7.9;1.6;-23.8;15.0;34.3;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;Off;Off;Off;Off;0.0;-214748364.8;-17.1;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 12:01:15;7.9;1.6;-23.6;14.9;34.1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;Off;Off;Off;Off;0.0;-214748364.8;-17.0;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 12:01:30;7.9;1.7;-23.4;14.9;34.2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;Off;Off;Off;Off;0.0;-214748364.8;-16.8;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 12:01:45;7.9;1.7;-23.1;14.9;34.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;Off;Off;Off;Off;0.0;-214748364.8;-16.6;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 12:02:00;7.9;1.7;-23.0;14.9;34.2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;Off;Off;Off;Off;0.0;-214748364.8;-16.5;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 12:02:15;7.9;1.8;-22.5;14.8;33.8;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;Off;Off;Off;Off;0.0;-214748364.8;-16.2;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 12:02:30;7.9;1.8;-22.5;14.8;33.9;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;Off;Off;Off;Off;0.0;-214748364.8;-16.1;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 12:02:45;7.9;1.0;-30.9;16.1;37.1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.4;0.0;0.0;0.1;On;Off;Off;Off;0.0;-214748364.8;-15.8;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
2025-05-20 12:03:00;7.9;0.8;-32.5;15.8;36.2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;On;Off;Off;Off;0.0;-214748364.8;-15.7;28.5;4.0;0.0;20.0;0.0;20.0;On;On;0.0;Off;Off;Off;Off;Off;Off;25.7;5.0;0.0;Off;Off;Off;On;Off;Off;0.0;100.0;0.0;0.0;0.0;2.0;1:00;Off;0
