Date,Refrigerated_1,Refrigerated_2,HotGasPipe,LiquidPipe,SuctionPipe,Environment,EnergyKWh,Door,Time
2023-05-02 00:00:00,-2.6,3.6,29.6,27.9,16.3,22.0,150.0,0.0,2
2023-05-02 00:01:00,0.0,-2.6,39.6,29.7,11.2,22.2,750.0,0.0,5
2023-05-02 00:02:00,0.4,0.0,41.8,29.4,10.0,22.2,100.0,0.0,8
2023-05-02 00:03:00,1.1,0.4,39.6,28.7,10.3,22.0,50.0,0.0,11
2023-05-02 00:04:00,1.5,1.1,36.9,28.1,11.2,22.2,100.0,0.0,14
2023-05-02 00:05:00,1.7,1.5,34.5,27.7,12.0,22.2,0.0,0.0,17
2023-05-02 00:06:00,2.0,1.7,32.6,27.3,12.8,22.1,100.0,0.0,20
2023-05-02 00:07:00,2.4,2.0,31.0,27.2,13.6,22.2,50.0,0.0,23
2023-05-02 00:08:00,2.5,2.4,30.0,27.0,14.3,22.1,100.0,0.0,26
2023-05-02 00:09:00,2.7,2.5,29.2,26.7,14.7,22.0,50.0,0.0,29
2023-05-02 00:10:00,2.9,2.7,28.3,26.6,15.3,22.0,100.0,0.0,32
2023-05-02 00:11:00,3.1,2.9,27.6,26.4,15.9,22.1,50.0,0.0,34
2023-05-02 00:12:00,3.4,3.1,27.1,26.1,16.2,22.1,100.0,0.0,37
2023-05-02 00:13:00,3.3,3.4,26.7,26.0,16.7,22.1,50.0,0.0,40
2023-05-02 00:14:00,-1.9,3.3,27.0,26.2,16.8,22.4,100.0,0.0,42
2023-05-02 00:15:00,0.4,-1.9,36.5,29.3,12.6,22.0,650.0,0.0,45
2023-05-02 00:16:00,0.3,0.4,41.8,29.6,10.2,22.1,300.0,0.0,48
2023-05-02 00:17:00,0.8,0.3,40.7,28.9,10.3,22.2,100.0,0.0,50
2023-05-02 00:18:00,1.4,0.8,38.1,28.3,10.9,22.2,50.0,0.0,53
2023-05-02 00:19:00,1.7,1.4,35.3,27.9,11.7,22.1,100.0,0.0,56
2023-05-02 00:20:00,2.0,1.7,33.3,27.6,12.5,22.1,50.0,0.0,59
2023-05-02 00:21:00,2.2,2.0,31.7,27.3,13.2,22.2,100.0,0.0,62
2023-05-02 00:22:00,2.4,2.2,30.4,27.2,14.0,22.1,50.0,0.0,65
2023-05-02 00:23:00,2.8,2.4,29.4,27.0,14.7,22.1,100.0,0.0,68
2023-05-02 00:24:00,3.0,2.8,28.6,26.9,15.2,22.1,50.0,0.0,71
2023-05-02 00:25:00,3.1,3.0,27.8,26.6,15.7,22.1,0.0,0.0,74
2023-05-02 00:26:00,3.3,3.1,27.3,26.4,16.1,22.1,100.0,0.0,77
2023-05-02 00:27:00,3.5,3.3,26.7,26.2,16.5,22.0,50.0,0.0,79
2023-05-02 00:28:00,3.7,3.5,26.3,26.0,16.9,22.1,100.0,0.0,82
2023-05-02 00:29:00,-3.5,3.7,32.7,28.5,14.4,22.4,350.0,0.0,85
2023-05-02 00:30:00,-0.1,-3.5,41.1,29.6,10.5,22.1,600.0,0.0,87
2023-05-02 00:31:00,0.6,-0.1,41.4,29.1,10.1,22.1,100.0,0.0,90
2023-05-02 00:32:00,1.3,0.6,39.0,28.4,10.7,22.1,50.0,0.0,93
