Date,Refrigerated_1,Refrigerated_2,HotGasPipe,LiquidPipe,SuctionPipe,Environment,EnergyKWh,Door,setpoint_min,setpoint_max
22/05/2023 00:01,2.9,2.8,30.2,28.8,16.8,24.3,50,0,16,18
22/05/2023 00:02,3.0,2.9,29.7,28.5,17.4,24.2,100,0,16,18
22/05/2023 00:03,3.3,3.0,29.2,28.4,17.9,24.2,50,0,16,18
22/05/2023 00:04,3.7,3.3,28.7,28.1,18.2,24.2,100,0,16,18
22/05/2023 00:05,3.6,3.7,28.3,28.0,18.7,24.1,50,0,16,18
22/05/2023 00:06,-1.1,3.6,31.7,30.5,18.5,24.9,600,0,16,18
22/05/2023 00:07,0.0,-1.1,41.8,31.0,11.8,24.4,650,0,16,18
22/05/2023 00:08,0.2,0.0,46.4,31.6,9.7,24.7,100,0,16,18
22/05/2023 00:09,0.7,0.2,44.5,31.0,10.1,24.5,50,0,16,18
22/05/2023 00:10,1.3,0.7,41.2,30.6,11.1,24.5,100,0,16,18
22/05/2023 00:11,1.5,1.3,38.3,30.3,12.1,24.3,50,0,16,18
22/05/2023 00:12,1.6,1.5,36.0,30.0,13.1,24.3,50,0,16,18
22/05/2023 00:13,1.9,1.6,34.2,29.8,14.0,24.3,100,0,16,18
22/05/2023 00:14,2.2,1.9,32.9,29.6,14.7,24.2,50,0,16,18
22/05/2023 00:15,2.4,2.2,31.9,29.2,15.6,24.2,100,0,16,18
22/05/2023 00:16,2.8,2.4,31.1,29.0,16.1,24.4,50,0,16,18
22/05/2023 00:17,2.8,2.8,30.3,28.8,16.7,24.2,50,0,16,18
22/05/2023 00:18,3.1,2.8,29.8,28.7,17.2,24.2,100,0,16,18
22/05/2023 00:19,3.4,3.1,29.2,28.5,17.6,24.1,50,0,16,18
22/05/2023 00:20,3.4,3.4,28.8,28.4,18.1,24.2,100,0,16,18
22/05/2023 00:21,3.5,3.4,28.3,28.1,18.5,24.1,0,0,16,18
22/05/2023 00:22,-2.3,3.5,29.2,28.4,19.6,24.8,300,0,16,18
22/05/2023 00:23,-5.4,-2.3,39.2,31.4,14.8,24.3,850,0,16,18
22/05/2023 00:24,-0.3,-5.4,45.9,31.7,9.8,24.8,100,0,16,18
22/05/2023 00:25,0.5,-0.3,45.2,31.2,9.8,24.6,50,0,16,18
22/05/2023 00:26,1.0,0.5,42.0,30.5,10.8,24.4,100,0,16,18
22/05/2023 00:27,1.4,1.0,38.9,30.3,11.8,24.4,50,0,16,18
22/05/2023 00:28,1.5,1.4,36.4,29.9,12.8,24.2,50,0,16,18
22/05/2023 00:29,1.9,1.5,34.6,29.7,13.8,24.2,100,0,16,18
22/05/2023 00:30,2.1,1.9,33.2,29.5,14.5,24.2,50,0,16,18
22/05/2023 00:31,2.5,2.1,32.0,29.2,15.2,24.2,100,0,16,18
22/05/2023 00:32,2.7,2.5,31.1,29.0,15.9,24.2,50,0,16,18
22/05/2023 00:33,2.8,2.7,30.4,28.8,16.6,24.2,50,0,16,18
22/05/2023 00:34,2.9,2.8,29.8,28.7,17.1,24.2,100,0,16,18
22/05/2023 00:35,3.2,2.9,29.3,28.4,17.5,24.1,50,0,16,18
22/05/2023 00:36,3.3,3.2,28.8,28.2,18.0,24.1,100,0,16,18
22/05/2023 00:37,3.4,3.3,28.4,28.1,18.4,24.1,50,0,16,18
22/05/2023 00:38,3.8,3.4,27.9,27.8,18.7,24.1,50,0,16,18
22/05/2023 00:39,-4.6,3.8,35.8,30.0,16.7,24.8,800,0,16,18
22/05/2023 00:40,-0.5,-4.6,44.8,31.5,10.5,24.7,450,0,16,18
22/05/2023 00:41,0.4,-0.5,45.9,31.3,9.8,24.6,50,0,16,18
22/05/2023 00:42,1.0,0.4,43.1,30.7,10.4,24.3,0,0,16,18
22/05/2023 00:43,1.3,1.0,39.9,30.3,11.6,24.3,100,0,16,18
22/05/2023 00:44,1.5,1.3,37.1,30.0,12.5,24.1,50,0,16,18
22/05/2023 00:45,1.8,1.5,35.1,29.8,13.3,24.2,100,0,16,18
22/05/2023 00:46,2.1,1.8,33.4,29.5,14.2,24.1,50,0,16,18
22/05/2023 00:47,2.3,2.1,32.3,29.4,15.0,24.1,100,0,16,18
22/05/2023 00:48,2.5,2.3,31.4,29.0,15.8,24.1,50,0,16,18
22/05/2023 00:49,2.8,2.5,30.6,28.8,16.3,24.1,50,0,16,18
22/05/2023 00:50,2.9,2.8,29.9,28.6,16.8,24.1,50,0,16,18
22/05/2023 00:51,3.1,2.9,29.3,28.5,17.4,24.1,50,0,16,18
22/05/2023 00:52,3.2,3.1,28.8,28.3,17.9,24.1,100,0,16,18
22/05/2023 00:53,3.5,3.2,28.4,28.1,18.3,24.0,50,0,16,18
22/05/2023 00:54,3.7,3.5,28.0,27.9,18.6,24.0,50,0,16,18
22/05/2023 00:55,-1.6,3.7,30.8,30.0,19.0,24.5,500,0,16,18
22/05/2023 00:56,-0.2,-1.6,42.0,31.0,11.5,24.4,750,0,16,18
22/05/2023 00:57,0.1,-0.2,46.0,31.4,9.7,24.6,100,0,16,18
22/05/2023 00:58,0.8,0.1,44.1,30.8,10.2,24.3,50,0,16,18
22/05/2023 00:59,1.3,0.8,40.7,30.3,11.2,24.3,100,0,16,18
22/05/2023 01:00,1.4,1.3,37.9,30.2,12.1,24.1,50,0,16,18
22/05/2023 01:01,1.7,1.4,35.6,29.9,13.1,24.1,100,0,16,18
22/05/2023 01:02,2.0,1.7,33.9,29.6,13.9,24.1,50,0,16,18
22/05/2023 01:03,2.2,2.0,32.6,29.3,14.8,24.2,50,0,16,18
22/05/2023 01:04,2.5,2.2,31.7,29.1,15.5,24.2,100,0,16,18
22/05/2023 01:05,2.7,2.5,30.9,29.0,16.1,24.1,50,0,16,18
22/05/2023 01:06,2.9,2.7,30.2,28.8,16.7,24.1,100,0,16,18
22/05/2023 01:07,3.2,2.9,29.5,28.6,17.1,24.1,50,0,16,18
22/05/2023 01:08,3.2,3.2,29.0,28.3,17.5,24.1,50,0,16,18
22/05/2023 01:09,3.4,3.2,28.6,28.1,18.1,24.1,100,0,16,18
22/05/2023 01:10,3.6,3.4,28.2,27.9,18.4,24.1,50,0,16,18
22/05/2023 01:11,-1.3,3.6,29.1,28.7,20.3,24.3,150,0,16,18
22/05/2023 01:12,-5.0,-1.3,40.2,31.0,15.1,24.7,950,0,16,18
22/05/2023 01:13,-0.3,-5.0,45.9,31.6,9.7,24.6,250,0,16,18
22/05/2023 01:14,0.6,-0.3,45.1,31.1,9.8,24.5,50,0,16,18
22/05/2023 01:15,1.2,0.6,41.9,30.5,10.7,24.3,100,0,16,18
22/05/2023 01:16,1.3,1.2,38.7,30.2,11.9,24.2,50,0,16,18
22/05/2023 01:17,1.6,1.3,36.2,30.0,12.8,24.1,100,0,16,18
22/05/2023 01:18,1.9,1.6,34.5,29.7,13.6,24.1,50,0,16,18
22/05/2023 01:19,2.2,1.9,33.0,29.5,14.5,24.1,50,0,16,18
