,Refrigerated_1,Refrigerated_2,HotGasPipe,LiquidPipe,SuctionPipe,Environment,EnergyKWh,Door,Tankdruk,Verdampingsdruk,Verdampingstemperatuur,Condensatiedruk,Condensatietemperatuur,VerdamperFAN sturing,FDVerdamperInterval,VerdamperFAN MODE Control,FDVerdamperFanPulsenNodig,FDVerdamperFanPulsen,FDCondensorInterval,CondensorFAN MODE Control,CondensorFAN sturing,FDCondensorPulsen,FDCondensorPulsenNodig,Gewicht Opslagtank,Compessor,S1 Lekken,S1 Bijvullen,S2 Start,LekkenVullen MODE Control,Alarm State,Cel Temperatuur,Verwarming Interval,Verwarming MODE Control,Verwarming sturing,Verwarming PulsenNodig,Verwarming sturing PWM1,Verwarming Pulsen,Stuurstroom,OFF Koel ON Vries,Gewicht Target,Vloeistofklep dicht,HD Overstortklep,FD Bijvullen,Bijvullen Actief,Lekken Actief,Reset,FDlekkkenInterval,FDlekkkenPulsenNodig,FDlekkkenPulsen,FD Lekken aktief,FD Lekken Klaar,FD Bijvullen aktief,setpoint_min,setpoint_max
2023-05-22 00:02:45,2.9,2.8,30.2,28.8,16.8,24.3,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:03:00,2.925,2.8249999999999997,30.075,28.725,16.95,24.275,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:03:15,2.95,2.8499999999999996,29.95,28.65,17.1,24.25,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:03:30,2.975,2.875,29.825,28.575,17.25,24.225,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:03:45,3.0,2.9,29.7,28.5,17.4,24.2,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:04:00,3.075,2.925,29.575,28.475,17.525,24.2,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:04:15,3.15,2.95,29.45,28.45,17.65,24.2,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:04:30,3.2249999999999996,2.975,29.325,28.424999999999997,17.775,24.2,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:05:00,3.4,3.075,29.075,28.325,17.974999999999998,24.2,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:04:45,3.3,3.0,29.2,28.4,17.9,24.2,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:05:15,3.5,3.15,28.95,28.25,18.049999999999997,24.2,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:05:30,3.6,3.2249999999999996,28.825,28.175,18.125,24.2,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:05:45,3.7,3.3,28.7,28.1,18.2,24.2,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:06:00,3.675,3.4,28.6,28.075000000000003,18.325,24.175,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:06:15,3.65,3.5,28.5,28.05,18.45,24.15,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:06:30,3.625,3.6,28.4,28.025,18.575,24.125,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:07:00,2.425,3.675,29.15,28.625,18.65,24.3,187.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:06:45,3.6,3.7,28.3,28.0,18.7,24.1,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:07:15,1.25,3.65,30.0,29.25,18.6,24.5,325.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:07:30,0.0750000000000001,3.625,30.85,29.875,18.55,24.7,462.49999999999994,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:07:45,-1.1,3.6,31.7,30.5,18.5,24.9,600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:08:00,-0.8250000000000001,2.425,34.225,30.625,16.825,24.775,612.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:08:15,-0.55,1.25,36.75,30.75,15.15,24.65,625.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:08:30,-0.275,0.0750000000000001,39.275,30.875,13.475,24.525,637.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:08:45,0.0,-1.1,41.8,31.0,11.8,24.4,650.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:09:00,0.05,-0.8250000000000001,42.95,31.15,11.275,24.475,512.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:09:15,0.1,-0.55,44.099999999999994,31.3,10.75,24.549999999999997,375.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:09:30,0.15,-0.275,45.25,31.450000000000003,10.225,24.625,237.50000000000009,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:09:45,0.2,0.0,46.4,31.6,9.7,24.7,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:10:00,0.325,0.05,45.925,31.450000000000003,9.8,24.65,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:10:15,0.4499999999999999,0.1,45.45,31.3,9.9,24.6,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:10:30,0.575,0.15,44.975,31.15,10.0,24.55,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:11:00,0.85,0.325,43.675,30.9,10.35,24.5,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:10:45,0.7,0.2,44.5,31.0,10.1,24.5,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:11:15,1.0,0.4499999999999999,42.85,30.8,10.6,24.5,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:11:30,1.15,0.575,42.025000000000006,30.700000000000003,10.85,24.5,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:11:45,1.3,0.7,41.2,30.6,11.1,24.5,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:12:00,1.35,0.85,40.475,30.525,11.35,24.45,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:12:15,1.4,1.0,39.75,30.450000000000003,11.6,24.4,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:12:30,1.45,1.15,39.025,30.375,11.85,24.35,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:12:45,1.5,1.3,38.3,30.3,12.1,24.3,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:13:00,1.525,1.35,37.724999999999994,30.225,12.35,24.3,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:13:15,1.55,1.4,37.15,30.15,12.6,24.3,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:13:30,1.5750000000000002,1.45,36.575,30.075,12.85,24.3,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:13:45,1.6,1.5,36.0,30.0,13.1,24.3,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:14:00,1.675,1.525,35.55,29.95,13.325,24.3,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:14:15,1.75,1.55,35.1,29.9,13.55,24.3,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:14:30,1.825,1.5750000000000002,34.650000000000006,29.85,13.775,24.3,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:15:00,1.975,1.675,33.875,29.75,14.175,24.275,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:14:45,1.9,1.6,34.2,29.8,14.0,24.3,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:15:15,2.05,1.75,33.55,29.700000000000003,14.35,24.25,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:15:30,2.125,1.825,33.225,29.65,14.525,24.225,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:15:45,2.2,1.9,32.9,29.6,14.7,24.2,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:16:00,2.25,1.975,32.65,29.5,14.925,24.2,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:16:15,2.3,2.05,32.4,29.4,15.15,24.2,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:16:30,2.35,2.125,32.15,29.3,15.375,24.2,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:17:00,2.5,2.25,31.7,29.15,15.725,24.25,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:16:45,2.4,2.2,31.9,29.2,15.6,24.2,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:17:15,2.5999999999999996,2.3,31.5,29.1,15.85,24.299999999999997,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:17:30,2.6999999999999997,2.35,31.3,29.05,15.975,24.35,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:17:45,2.8,2.4,31.1,29.0,16.1,24.4,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:18:00,2.8,2.5,30.9,28.95,16.25,24.35,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:18:15,2.8,2.5999999999999996,30.700000000000003,28.9,16.4,24.299999999999997,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:18:30,2.8,2.6999999999999997,30.5,28.85,16.55,24.25,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:18:45,2.8,2.8,30.3,28.8,16.7,24.2,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:19:00,2.875,2.8,30.175,28.775,16.825,24.2,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:19:15,2.95,2.8,30.05,28.75,16.95,24.2,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:19:30,3.025,2.8,29.925,28.725,17.075,24.2,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:19:45,3.1,2.8,29.8,28.7,17.2,24.2,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:20:00,3.175,2.875,29.65,28.65,17.3,24.175,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:20:15,3.25,2.95,29.5,28.6,17.4,24.15,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:20:30,3.325,3.025,29.35,28.55,17.5,24.125,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:20:45,3.4,3.1,29.2,28.5,17.6,24.1,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:21:00,3.4,3.175,29.1,28.475,17.725,24.125,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:21:15,3.4,3.25,29.0,28.45,17.85,24.15,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:21:30,3.4,3.325,28.9,28.424999999999997,17.975,24.175,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:21:45,3.4,3.4,28.8,28.4,18.1,24.2,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:22:00,3.425,3.4,28.675,28.325,18.200000000000003,24.175,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:22:15,3.45,3.4,28.55,28.25,18.3,24.15,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:22:30,3.475,3.4,28.425,28.175,18.4,24.125,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:22:45,3.5,3.4,28.3,28.1,18.5,24.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:23:00,2.05,3.425,28.525,28.175,18.775,24.275,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:23:15,0.6000000000000001,3.45,28.75,28.25,19.05,24.450000000000003,150.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:23:30,-0.8500000000000005,3.475,28.975,28.325,19.325000000000003,24.625,225.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:23:45,-2.3,3.5,29.2,28.4,19.6,24.8,300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:24:00,-3.075,2.05,31.7,29.15,18.4,24.675,437.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:24:15,-3.85,0.6000000000000001,34.2,29.9,17.200000000000003,24.55,575.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:24:30,-4.625,-0.8500000000000005,36.7,30.65,16.0,24.425,712.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:24:45,-5.4,-2.3,39.2,31.4,14.8,24.3,850.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:25:00,-4.125,-3.075,40.875,31.475,13.55,24.425,662.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:25:15,-2.85,-3.85,42.55,31.549999999999997,12.3,24.55,475.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:25:30,-1.5750000000000002,-4.625,44.225,31.625,11.05,24.675,287.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:26:00,-0.0999999999999999,-4.125,45.725,31.575,9.8,24.75,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:25:45,-0.3,-5.4,45.9,31.7,9.8,24.8,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:26:15,0.1,-2.85,45.55,31.45,9.8,24.700000000000003,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:26:30,0.3000000000000001,-1.5750000000000002,45.375,31.325,9.8,24.65,62.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
2023-05-22 00:26:45,0.5,-0.3,45.2,31.2,9.8,24.6,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18
